Id,Label,Role,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
22,22,,4,1,1,2,6,4,10,5,0.347134,0.368807,0,0.023424,0.024516,0.005862,0,32,0,0.070442
21,21,,5,2,0,2,10,0,10,5,0.330303,0.353517,0.000364,0.037822,0,0.004622,0,23,0,0.078157
20,20,,2,2,2,4,24,16,40,4,0.411321,0.438838,0.000125,0.08428,0.063747,0.004906,0,32,0.666667,0.141326
19,19,,0,3,3,6,27,98,125,4,0.425781,0.454893,0.000428,0.104063,0.109473,0.008062,0,32,0.75,0.208403
18,18,,4,1,1,2,17,44,61,5,0.347134,0.368807,0,0.023424,0.024516,0.005862,0,32,0,0.070442
17,17,The handyman of Morales. (n12),4,1,2,3,12,38,50,5,0.348243,0.373394,0,0.023424,0.027466,0.005862,0,32,0.5,0.070442
16,16,Cocaine provider,4,1,2,3,51,94,145,5,0.349359,0.374924,0.00157,0.023424,0.026009,0.005862,0,32,0,0.070442
15,15,,0,1,3,4,11,5,16,4,0.424125,0.450306,0,0.073629,0.109473,0.003823,0,32,1,0.125248
14,14,,4,6,5,11,105,91,196,4,0.459916,0.493119,0.021478,0.15604,0.09434,0.02815,0,32,0.404762,0.358048
13,13,,3,4,2,6,26,4,30,4,0.454167,0.482416,0.002141,0.107109,0.034139,0.012163,0,32,0.35,0.248678
12,12,หัวหน้าก๊ก cocaine Principal organizer of the cocaine import,4,22,20,42,311,223,534,4,0.529126,0.60474,0.292142,0.220097,0.210292,0.079443,0,32,0.042328,0.536845
11,11,Provider in Morocco,2,1,3,4,12,136,148,4,0.411321,0.439602,0.000142,0.073629,0.095618,0.003823,0,32,0.666667,0.125248
10,10,,0,1,0,1,6,0,6,4,0.405204,0.42737,0,0.073629,0,0.003823,0,31,0,0.125248
9,9,,2,7,1,8,68,2,70,4,0.465812,0.497706,0.006259,0.185675,0.016882,0.021742,0,32,0.428571,0.43356
8,8,Charged with recuperating the marijuana.,2,6,6,12,74,21,95,4,0.429134,0.470183,0.006901,0.151559,0.135116,0.033955,0,32,0.267857,0.384507
7,7,,4,3,1,4,9,7,16,4,0.414449,0.442661,0,0.128294,0.015673,0.008046,0,32,1,0.262969
6,6,Broker in Spain,0,3,2,5,28,42,70,4,0.414449,0.445719,0.000345,0.093143,0.08623,0.006136,0,32,0.583333,0.158117
,,,,,,,,,,,,,,,,,,,,
5,5,Charged with recuperating the marijuana.,2,4,3,7,52,70,122,4,0.416031,0.450306,0.000501,0.108603,0.103112,0.011634,0,32,0.6,0.217362
,,,,,,,,,,,,,,,,,,,,
4,4,,2,1,2,3,10,2,12,4,0.406716,0.431957,0,0.073629,0.059501,0.003823,0,32,1,0.125248
,,,,,,,,,,,,,,,,,,,,
3,3,Principal lieutenant of Serero,2,21,20,41,435,319,754,3,0.536946,0.605505,0.105205,0.348571,0.344728,0.048436,0,32,0.118234,0.799875
,,,,,,,,,,,,,,,,,,,,
2,2,,2,3,5,8,54,36,90,4,0.414449,0.448777,0.000572,0.118781,0.119368,0.008091,0,32,0.4,0.242349
,,,,,,,,,,,,,,,,,,,,
1,1,ก๊กกัญชา Mastermind of the network,0,37,54,91,775,1272,2047,3,0.677019,0.770642,0.637459,0.425587,0.661026,0.084915,0,32,0.029661,1
